ᵤ	ᵤ	u	U+1D64 (LATIN SUBSCRIPT SMALL LETTER U) preserved SUBSCRIPT
ᵥ	ᵥ	v	U+1D65 (LATIN SUBSCRIPT SMALL LETTER V) preserved SUBSCRIPT
ᵦ	ᵦ	β	U+1D66 (GREEK SUBSCRIPT SMALL LETTER BETA) preserved SUBSCRIPT
ᵧ	ᵧ	γ	U+1D67 (GREEK SUBSCRIPT SMALL LETTER GAMMA) preserved SUBSCRIPT
ᵨ	ᵨ	ρ	U+1D68 (GREEK SUBSCRIPT SMALL LETTER RHO) preserved SUBSCRIPT
ᵩ	ᵩ	φ	U+1D69 (GREEK SUBSCRIPT SMALL LETTER PHI) preserved SUBSCRIPT
ᵪ	ᵪ	χ	U+1D6A (GREEK SUBSCRIPT SMALL LETTER CHI) preserved SUBSCRIPT
ᵸ	ᵸ	н	U+1D78 (MODIFIER LETTER CYRILLIC EN) preserved SUPERSCRIPT
ᶛ	ᶛ	ɒ	U+1D9B (MODIFIER LETTER SMALL TURNED ALPHA) preserved SUPERSCRIPT
ᶜ	ᶜ	c	U+1D9C (MODIFIER LETTER SMALL C) preserved SUPERSCRIPT
ᶝ	ᶝ	ɕ	U+1D9D (MODIFIER LETTER SMALL C WITH CURL) preserved SUPERSCRIPT
ᶞ	ᶞ	ð	U+1D9E (MODIFIER LETTER SMALL ETH) preserved SUPERSCRIPT
ᶟ	ᶟ	ɜ	U+1D9F (MODIFIER LETTER SMALL REVERSED OPEN E) preserved SUPERSCRIPT
ᶠ	ᶠ	f	U+1DA0 (MODIFIER LETTER SMALL F) preserved SUPERSCRIPT
ᶡ	ᶡ	ɟ	U+1DA1 (MODIFIER LETTER SMALL DOTLESS J WITH STROKE) preserved SUPERSCRIPT
ᶢ	ᶢ	ɡ	U+1DA2 (MODIFIER LETTER SMALL SCRIPT G) preserved SUPERSCRIPT
ᶣ	ᶣ	ɥ	U+1DA3 (MODIFIER LETTER SMALL TURNED H) preserved SUPERSCRIPT
ᶤ	ᶤ	ɨ	U+1DA4 (MODIFIER LETTER SMALL I WITH STROKE) preserved SUPERSCRIPT
ᶥ	ᶥ	ɩ	U+1DA5 (MODIFIER LETTER SMALL IOTA) preserved SUPERSCRIPT
ᶦ	ᶦ	ɪ	U+1DA6 (MODIFIER LETTER SMALL CAPITAL I) preserved SUPERSCRIPT
ᶧ	ᶧ	ᵻ	U+1DA7 (MODIFIER LETTER SMALL CAPITAL I WITH STROKE) preserved SUPERSCRIPT
ᶨ	ᶨ	ʝ	U+1DA8 (MODIFIER LETTER SMALL J WITH CROSSED-TAIL) preserved SUPERSCRIPT
ᶩ	ᶩ	ɭ	U+1DA9 (MODIFIER LETTER SMALL L WITH RETROFLEX HOOK) preserved SUPERSCRIPT
ᶪ	ᶪ	ᶅ	U+1DAA (MODIFIER LETTER SMALL L WITH PALATAL HOOK) preserved SUPERSCRIPT
ᶫ	ᶫ	ʟ	U+1DAB (MODIFIER LETTER SMALL CAPITAL L) preserved SUPERSCRIPT
ᶬ	ᶬ	ɱ	U+1DAC (MODIFIER LETTER SMALL M WITH HOOK) preserved SUPERSCRIPT
ᶭ	ᶭ	ɰ	U+1DAD (MODIFIER LETTER SMALL TURNED M WITH LONG LEG) preserved SUPERSCRIPT
ᶮ	ᶮ	ɲ	U+1DAE (MODIFIER LETTER SMALL N WITH LEFT HOOK) preserved SUPERSCRIPT
ᶯ	ᶯ	ɳ	U+1DAF (MODIFIER LETTER SMALL N WITH RETROFLEX HOOK) preserved SUPERSCRIPT
