MapFromString	MapToString	Comment # File ArabicPresentationFormMappingAnnotated.tsv, automatically generated by script wildebeest_build.py (Ulf Hermjakob, USC/ISI) based on UnicodeData on Sep 26, 2020, 22:36:13
ﮥ	ۀ	U+FBA5 (ARABIC LETTER HEH WITH YEH ABOVE FINAL FORM) -> U+06C0
ﮦ	ہ	U+FBA6 (ARABIC LETTER HEH GOAL ISOLATED FORM) -> U+06C1
ﮧ	ہ	U+FBA7 (ARABIC LETTER HEH GOAL FINAL FORM) -> U+06C1
ﮨ	ہ	U+FBA8 (ARABIC LETTER HEH GOAL INITIAL FORM) -> U+06C1
ﮩ	ہ	U+FBA9 (ARABIC LETTER HEH GOAL MEDIAL FORM) -> U+06C1
ﮪ	ھ	U+FBAA (ARABIC LETTER HEH DOACHASHMEE ISOLATED FORM) -> U+06BE
ﮫ	ھ	U+FBAB (ARABIC LETTER HEH DOACHASHMEE FINAL FORM) -> U+06BE
ﮬ	ھ	U+FBAC (ARABIC LETTER HEH DOACHASHMEE INITIAL FORM) -> U+06BE
ﮭ	ھ	U+FBAD (ARABIC LETTER HEH DOACHASHMEE MEDIAL FORM) -> U+06BE
ﮮ	ے	U+FBAE (ARABIC LETTER YEH BARREE ISOLATED FORM) -> U+06D2
ﮯ	ے	U+FBAF (ARABIC LETTER YEH BARREE FINAL FORM) -> U+06D2
ﮰ	ۓ	U+FBB0 (ARABIC LETTER YEH BARREE WITH HAMZA ABOVE ISOLATED FORM) -> U+06D3
ﮱ	ۓ	U+FBB1 (ARABIC LETTER YEH BARREE WITH HAMZA ABOVE FINAL FORM) -> U+06D3
ﯓ	ڭ	U+FBD3 (ARABIC LETTER NG ISOLATED FORM) -> U+06AD
ﯔ	ڭ	U+FBD4 (ARABIC LETTER NG FINAL FORM) -> U+06AD
ﯕ	ڭ	U+FBD5 (ARABIC LETTER NG INITIAL FORM) -> U+06AD
ﯖ	ڭ	U+FBD6 (ARABIC LETTER NG MEDIAL FORM) -> U+06AD
ﯗ	ۇ	U+FBD7 (ARABIC LETTER U ISOLATED FORM) -> U+06C7
ﯘ	ۇ	U+FBD8 (ARABIC LETTER U FINAL FORM) -> U+06C7
ﯙ	ۆ	U+FBD9 (ARABIC LETTER OE ISOLATED FORM) -> U+06C6
ﯚ	ۆ	U+FBDA (ARABIC LETTER OE FINAL FORM) -> U+06C6
ﯛ	ۈ	U+FBDB (ARABIC LETTER YU ISOLATED FORM) -> U+06C8
ﯜ	ۈ	U+FBDC (ARABIC LETTER YU FINAL FORM) -> U+06C8
ﯝ	ٷ	U+FBDD (ARABIC LETTER U WITH HAMZA ABOVE ISOLATED FORM) -> U+0677   NFKC-ref: ۇٴ
ﯞ	ۋ	U+FBDE (ARABIC LETTER VE ISOLATED FORM) -> U+06CB
ﯟ	ۋ	U+FBDF (ARABIC LETTER VE FINAL FORM) -> U+06CB
ﯠ	ۅ	U+FBE0 (ARABIC LETTER KIRGHIZ OE ISOLATED FORM) -> U+06C5
ﯡ	ۅ	U+FBE1 (ARABIC LETTER KIRGHIZ OE FINAL FORM) -> U+06C5
ﯢ	ۉ	U+FBE2 (ARABIC LETTER KIRGHIZ YU ISOLATED FORM) -> U+06C9
ﯣ	ۉ	U+FBE3 (ARABIC LETTER KIRGHIZ YU FINAL FORM) -> U+06C9
ﯤ	ې	U+FBE4 (ARABIC LETTER E ISOLATED FORM) -> U+06D0
ﯥ	ې	U+FBE5 (ARABIC LETTER E FINAL FORM) -> U+06D0
ﯦ	ې	U+FBE6 (ARABIC LETTER E INITIAL FORM) -> U+06D0
ﯧ	ې	U+FBE7 (ARABIC LETTER E MEDIAL FORM) -> U+06D0
ﯨ	ى	U+FBE8 (ARABIC LETTER UIGHUR KAZAKH KIRGHIZ ALEF MAKSURA INITIAL FORM) -> U+0649
