ﰄ	ئي	U+FC04 (ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH YEH ISOLATED FORM) -> U+0626 (ARABIC LETTER YEH WITH HAMZA ABOVE) U+064A (ARABIC LETTER YEH)
ﰅ	بج	U+FC05 (ARABIC LIGATURE BEH WITH JEEM ISOLATED FORM) -> U+0628 (ARABIC LETTER BEH) U+062C (ARABIC LETTER JEEM)
ﰆ	بح	U+FC06 (ARABIC LIGATURE BEH WITH HAH ISOLATED FORM) -> U+0628 (ARABIC LETTER BEH) U+062D (ARABIC LETTER HAH)
ﰇ	بخ	U+FC07 (ARABIC LIGATURE BEH WITH KHAH ISOLATED FORM) -> U+0628 (ARABIC LETTER BEH) U+062E (ARABIC LETTER KHAH)
ﰈ	بم	U+FC08 (ARABIC LIGATURE BEH WITH MEEM ISOLATED FORM) -> U+0628 (ARABIC LETTER BEH) U+0645 (ARABIC LETTER MEEM)
ﰉ	بى	U+FC09 (ARABIC LIGATURE BEH WITH ALEF MAKSURA ISOLATED FORM) -> U+0628 (ARABIC LETTER BEH) U+0649 (ARABIC LETTER ALEF MAKSURA)
ﰊ	بي	U+FC0A (ARABIC LIGATURE BEH WITH YEH ISOLATED FORM) -> U+0628 (ARABIC LETTER BEH) U+064A (ARABIC LETTER YEH)
ﰋ	تج	U+FC0B (ARABIC LIGATURE TEH WITH JEEM ISOLATED FORM) -> U+062A (ARABIC LETTER TEH) U+062C (ARABIC LETTER JEEM)
ﰌ	تح	U+FC0C (ARABIC LIGATURE TEH WITH HAH ISOLATED FORM) -> U+062A (ARABIC LETTER TEH) U+062D (ARABIC LETTER HAH)
ﰍ	تخ	U+FC0D (ARABIC LIGATURE TEH WITH KHAH ISOLATED FORM) -> U+062A (ARABIC LETTER TEH) U+062E (ARABIC LETTER KHAH)
ﰎ	تم	U+FC0E (ARABIC LIGATURE TEH WITH MEEM ISOLATED FORM) -> U+062A (ARABIC LETTER TEH) U+0645 (ARABIC LETTER MEEM)
ﰏ	تى	U+FC0F (ARABIC LIGATURE TEH WITH ALEF MAKSURA ISOLATED FORM) -> U+062A (ARABIC LETTER TEH) U+0649 (ARABIC LETTER ALEF MAKSURA)
ﰐ	تي	U+FC10 (ARABIC LIGATURE TEH WITH YEH ISOLATED FORM) -> U+062A (ARABIC LETTER TEH) U+064A (ARABIC LETTER YEH)
ﰑ	ثج	U+FC11 (ARABIC LIGATURE THEH WITH JEEM ISOLATED FORM) -> U+062B (ARABIC LETTER THEH) U+062C (ARABIC LETTER JEEM)
ﰒ	ثم	U+FC12 (ARABIC LIGATURE THEH WITH MEEM ISOLATED FORM) -> U+062B (ARABIC LETTER THEH) U+0645 (ARABIC LETTER MEEM)
ﰓ	ثى	U+FC13 (ARABIC LIGATURE THEH WITH ALEF MAKSURA ISOLATED FORM) -> U+062B (ARABIC LETTER THEH) U+0649 (ARABIC LETTER ALEF MAKSURA)
ﰔ	ثي	U+FC14 (ARABIC LIGATURE THEH WITH YEH ISOLATED FORM) -> U+062B (ARABIC LETTER THEH) U+064A (ARABIC LETTER YEH)
ﰕ	جح	U+FC15 (ARABIC LIGATURE JEEM WITH HAH ISOLATED FORM) -> U+062C (ARABIC LETTER JEEM) U+062D (ARABIC LETTER HAH)
ﰖ	جم	U+FC16 (ARABIC LIGATURE JEEM WITH MEEM ISOLATED FORM) -> U+062C (ARABIC LETTER JEEM) U+0645 (ARABIC LETTER MEEM)
ﰗ	حج	U+FC17 (ARABIC LIGATURE HAH WITH JEEM ISOLATED FORM) -> U+062D (ARABIC LETTER HAH) U+062C (ARABIC LETTER JEEM)
ﰘ	حم	U+FC18 (ARABIC LIGATURE HAH WITH MEEM ISOLATED FORM) -> U+062D (ARABIC LETTER HAH) U+0645 (ARABIC LETTER MEEM)
ﰙ	خج	U+FC19 (ARABIC LIGATURE KHAH WITH JEEM ISOLATED FORM) -> U+062E (ARABIC LETTER KHAH) U+062C (ARABIC LETTER JEEM)
ﰚ	خح	U+FC1A (ARABIC LIGATURE KHAH WITH HAH ISOLATED FORM) -> U+062E (ARABIC LETTER KHAH) U+062D (ARABIC LETTER HAH)
ﰛ	خم	U+FC1B (ARABIC LIGATURE KHAH WITH MEEM ISOLATED FORM) -> U+062E (ARABIC LETTER KHAH) U+0645 (ARABIC LETTER MEEM)
ﰜ	سج	U+FC1C (ARABIC LIGATURE SEEN WITH JEEM ISOLATED FORM) -> U+0633 (ARABIC LETTER SEEN) U+062C (ARABIC LETTER JEEM)
ﰝ	سح	U+FC1D (ARABIC LIGATURE SEEN WITH HAH ISOLATED FORM) -> U+0633 (ARABIC LETTER SEEN) U+062D (ARABIC LETTER HAH)
ﰞ	سخ	U+FC1E (ARABIC LIGATURE SEEN WITH KHAH ISOLATED FORM) -> U+0633 (ARABIC LETTER SEEN) U+062E (ARABIC LETTER KHAH)
ﰟ	سم	U+FC1F (ARABIC LIGATURE SEEN WITH MEEM ISOLATED FORM) -> U+0633 (ARABIC LETTER SEEN) U+0645 (ARABIC LETTER MEEM)
ﰠ	صح	U+FC20 (ARABIC LIGATURE SAD WITH HAH ISOLATED FORM) -> U+0635 (ARABIC LETTER SAD) U+062D (ARABIC LETTER HAH)
ﰡ	صم	U+FC21 (ARABIC LIGATURE SAD WITH MEEM ISOLATED FORM) -> U+0635 (ARABIC LETTER SAD) U+0645 (ARABIC LETTER MEEM)
ﰢ	ضج	U+FC22 (ARABIC LIGATURE DAD WITH JEEM ISOLATED FORM) -> U+0636 (ARABIC LETTER DAD) U+062C (ARABIC LETTER JEEM)
ﰣ	ضح	U+FC23 (ARABIC LIGATURE DAD WITH HAH ISOLATED FORM) -> U+0636 (ARABIC LETTER DAD) U+062D (ARABIC LETTER HAH)
ﰤ	ضخ	U+FC24 (ARABIC LIGATURE DAD WITH KHAH ISOLATED FORM) -> U+0636 (ARABIC LETTER DAD) U+062E (ARABIC LETTER KHAH)
