﹑	,	U+FE51 (SMALL IDEOGRAPHIC COMMA) -> U+002C (COMMA)   NFKC-ref: 、
﹒	.	U+FE52 (SMALL FULL STOP) -> U+002E (FULL STOP)
﹔	;	U+FE54 (SMALL SEMICOLON) -> U+003B (SEMICOLON)
﹕	:	U+FE55 (SMALL COLON) -> U+003A (COLON)
﹖	?	U+FE56 (SMALL QUESTION MARK) -> U+003F (QUESTION MARK)
﹗	!	U+FE57 (SMALL EXCLAMATION MARK) -> U+0021 (EXCLAMATION MARK)
﹘	-	U+FE58 (SMALL EM DASH) -> U+002D (HYPHEN-MINUS)   NFKC-ref: —
﹙	(	U+FE59 (SMALL LEFT PARENTHESIS) -> U+0028 (LEFT PARENTHESIS)
﹚	)	U+FE5A (SMALL RIGHT PARENTHESIS) -> U+0029 (RIGHT PARENTHESIS)
﹛	{	U+FE5B (SMALL LEFT CURLY BRACKET) -> U+007B (LEFT CURLY BRACKET)
﹜	}	U+FE5C (SMALL RIGHT CURLY BRACKET) -> U+007D (RIGHT CURLY BRACKET)
﹝	[	U+FE5D (SMALL LEFT TORTOISE SHELL BRACKET) -> U+005B (LEFT SQUARE BRACKET)   NFKC-ref: 〔
﹞	]	U+FE5E (SMALL RIGHT TORTOISE SHELL BRACKET) -> U+005D (RIGHT SQUARE BRACKET)   NFKC-ref: 〕
﹟	#	U+FE5F (SMALL NUMBER SIGN) -> U+0023 (NUMBER SIGN)
﹠	&	U+FE60 (SMALL AMPERSAND) -> U+0026 (AMPERSAND)
﹡	*	U+FE61 (SMALL ASTERISK) -> U+002A (ASTERISK)
﹢	+	U+FE62 (SMALL PLUS SIGN) -> U+002B (PLUS SIGN)
﹣	-	U+FE63 (SMALL HYPHEN-MINUS) -> U+002D (HYPHEN-MINUS)
﹤	<	U+FE64 (SMALL LESS-THAN SIGN) -> U+003C (LESS-THAN SIGN)
﹥	>	U+FE65 (SMALL GREATER-THAN SIGN) -> U+003E (GREATER-THAN SIGN)
﹦	=	U+FE66 (SMALL EQUALS SIGN) -> U+003D (EQUALS SIGN)
﹨	\	U+FE68 (SMALL REVERSE SOLIDUS) -> U+005C (REVERSE SOLIDUS)
﹩	$	U+FE69 (SMALL DOLLAR SIGN) -> U+0024 (DOLLAR SIGN)
﹪	%	U+FE6A (SMALL PERCENT SIGN) -> U+0025 (PERCENT SIGN)
﹫	@	U+FE6B (SMALL COMMERCIAL AT) -> U+0040 (COMMERCIAL AT)
𝐀	A	U+1D400 (MATHEMATICAL BOLD CAPITAL A) -> U+0041 (LATIN CAPITAL LETTER A)
𝐁	B	U+1D401 (MATHEMATICAL BOLD CAPITAL B) -> U+0042 (LATIN CAPITAL LETTER B)
𝐂	C	U+1D402 (MATHEMATICAL BOLD CAPITAL C) -> U+0043 (LATIN CAPITAL LETTER C)
𝐃	D	U+1D403 (MATHEMATICAL BOLD CAPITAL D) -> U+0044 (LATIN CAPITAL LETTER D)
𝐄	E	U+1D404 (MATHEMATICAL BOLD CAPITAL E) -> U+0045 (LATIN CAPITAL LETTER E)
𝐅	F	U+1D405 (MATHEMATICAL BOLD CAPITAL F) -> U+0046 (LATIN CAPITAL LETTER F)
𝐆	G	U+1D406 (MATHEMATICAL BOLD CAPITAL G) -> U+0047 (LATIN CAPITAL LETTER G)
𝐇	H	U+1D407 (MATHEMATICAL BOLD CAPITAL H) -> U+0048 (LATIN CAPITAL LETTER H)
𝐈	I	U+1D408 (MATHEMATICAL BOLD CAPITAL I) -> U+0049 (LATIN CAPITAL LETTER I)
𝐉	J	U+1D409 (MATHEMATICAL BOLD CAPITAL J) -> U+004A (LATIN CAPITAL LETTER J)
𝐊	K	U+1D40A (MATHEMATICAL BOLD CAPITAL K) -> U+004B (LATIN CAPITAL LETTER K)
𝐋	L	U+1D40B (MATHEMATICAL BOLD CAPITAL L) -> U+004C (LATIN CAPITAL LETTER L)
𝐌	M	U+1D40C (MATHEMATICAL BOLD CAPITAL M) -> U+004D (LATIN CAPITAL LETTER M)
𝐍	N	U+1D40D (MATHEMATICAL BOLD CAPITAL N) -> U+004E (LATIN CAPITAL LETTER N)
𝐎	O	U+1D40E (MATHEMATICAL BOLD CAPITAL O) -> U+004F (LATIN CAPITAL LETTER O)
𝐏	P	U+1D40F (MATHEMATICAL BOLD CAPITAL P) -> U+0050 (LATIN CAPITAL LETTER P)
𝐐	Q	U+1D410 (MATHEMATICAL BOLD CAPITAL Q) -> U+0051 (LATIN CAPITAL LETTER Q)
𝐑	R	U+1D411 (MATHEMATICAL BOLD CAPITAL R) -> U+0052 (LATIN CAPITAL LETTER R)
𝐒	S	U+1D412 (MATHEMATICAL BOLD CAPITAL S) -> U+0053 (LATIN CAPITAL LETTER S)
𝐓	T	U+1D413 (MATHEMATICAL BOLD CAPITAL T) -> U+0054 (LATIN CAPITAL LETTER T)
𝐔	U	U+1D414 (MATHEMATICAL BOLD CAPITAL U) -> U+0055 (LATIN CAPITAL LETTER U)
𝐕	V	U+1D415 (MATHEMATICAL BOLD CAPITAL V) -> U+0056 (LATIN CAPITAL LETTER V)
𝐖	W	U+1D416 (MATHEMATICAL BOLD CAPITAL W) -> U+0057 (LATIN CAPITAL LETTER W)
𝐗	X	U+1D417 (MATHEMATICAL BOLD CAPITAL X) -> U+0058 (LATIN CAPITAL LETTER X)
𝐘	Y	U+1D418 (MATHEMATICAL BOLD CAPITAL Y) -> U+0059 (LATIN CAPITAL LETTER Y)
𝐙	Z	U+1D419 (MATHEMATICAL BOLD CAPITAL Z) -> U+005A (LATIN CAPITAL LETTER Z)
𝐚	a	U+1D41A (MATHEMATICAL BOLD SMALL A) -> U+0061 (LATIN SMALL LETTER A)
𝐛	b	U+1D41B (MATHEMATICAL BOLD SMALL B) -> U+0062 (LATIN SMALL LETTER B)
𝐜	c	U+1D41C (MATHEMATICAL BOLD SMALL C) -> U+0063 (LATIN SMALL LETTER C)
